1, Lucas Pereira, C, B, D, D, B, D, C, B, E, D, A, B, A, D, E, B, A, D, C, B
55, Marcos Alves, E, C, E, B, B, B, E, D, C, C, A, A, B, C, A, A, C, B, A, B
56, João Silva, C, B, A, E, E, B, E, A, B, D, A, A, A, B, C, A, C, B, D, B
57, Juliana Costa, E, E, D, D, A, D, C, D, D, C, C, C, A, A, D, C, A, D, B, E
58, João Silva, E, B, A, B, D, B, E, E, D, A, E, D, C, E, E, A, C, B, C, A
59, Maria Souza, A, E, E, C, D, D, C, E, C, C, D, E, B, A, C, A, B, B, D, E
60, Ana Oliveira, E, C, A, E, C, B, A, D, E, B, A, C, C, C, D, E, D, E, E, A
61, Maria Souza, B, A, D, E, C, E, E, A, D, C, E, B, C, A, B, C, E, A, C, C
62, Maria Souza, C, E, C, D, A, E, E, C, B, B, E, B, C, D, A, B, C, D, B, A
63, João Silva, D, C, E, C, B, C, E, B, E, D, C, A, E, C, B, C, E, E, E, B
64, Fernanda Rocha, E, D, C, A, A, C, B, E, D, A, E, D, C, E, D, E, A, C, E, C
65, Patricia Mendes, C, A, B, C, C, D, B, B, B, B, C, E, D, E, E, C, C, D, D, B
66, Fernanda Rocha, D, E, B, D, B, A, D, B, E, D, D, E, D, A, A, C, C, E, D, E
67, Pedro Santos, B, C, B, D, A, E, E, A, A, C, B, E, D, E, B, C, A, A, B, B
68, Pedro Santos, A, E, C, C, D, C, B, C, C, A, E, B, A, D, A, B, C, C, C, D
69, Lucas Pereira, C, E, B, D, E, D, C, B, B, C, D, D, C, A, A, E, B, A, B, E
70, Maria Souza, B, B, A, D, B, E, A, A, E, A, A, B, E, A, D, D, C, E, A, A
71, Ana Oliveira, E, E, E, E, E, E, B, B, B, E, D, C, A, B, C, C, D, C, C, C
72, Lucas Pereira, E, B, A, B, A, A, C, D, C, A, C, B, C, A, C, D, C, D, D, D
73, Marcos Alves, D, E, B, C, C, C, C, A, B, C, D, C, C, E, E, A, A, D, B, B
74, Carlos Lima, E, A, D, A, A, E, C, B, E, B, D, D, D, A, C, A, D, A, C, C
75, Juliana Costa, B, B, B, C, B, C, E, E, D, A, D, C, A, C, B, A, D, E, D, C
76, João Silva, A, B, C, C, A, B, B, A, B, C, B, D, A, B, A, E, E, A, D, A
77, Patricia Mendes, D, C, D, C, B, C, A, C, D, A, C, D, B, C, E, D, C, A, B, D
78, Ana Oliveira, C, D, E, B, C, C, A, C, B, D, D, A, D, E, C, A, B, E, D, C
79, Marcos Alves, D, B, E, C, A, E, E, E, C, C, B, C, B, B, D, C, D, D, E, B
80, Carlos Lima, C, E, C, D, E, C, D, D, E, E, B, C, C, C, B, C, D, E, A, D
81, João Silva, A, E, C, A, C, C, D, B, E, C, D, B, B, D, A, D, B, C, E, D
82, Marcos Alves, C, E, D, E, C, B, D, E, A, D, D, A, B, A, C, C, A, A, E, D
83, Marcos Alves, E, E, D, B, A, B, A, E, C, D, A, C, B, A, D, B, D, E, D, E
84, Pedro Santos, B, E, D, B, E, D, C, C, C, C, C, E, E, C, D, C, C, B, C, B
85, Patricia Mendes, D, A, C, C, D, E, B, E, D, A, B, E, E, D, B, B, E, E, E, D
86, Ana Oliveira, B, C, C, E, C, A, D, E, B, D, E, A, D, D, E, B, A, B, E, A
87, Maria Souza, B, B, D, C, E, D, B, D, C, A, A, C, B, E, E, A, A, B, E, E
88, Carlos Lima, E, C, D, A, A, E, B, C, A, A, C, A, C, B, C, D, C, E, C, D
89, Pedro Santos, A, A, D, B, D, C, C, C, D, E, B, B, D, E, E, C, C, A, E, C
90, Fernanda Rocha, B, C, B, D, E, A, C, C, C, B, E, B, C, A, C, D, B, A, B, A
91, Patricia Mendes, D, C, D, C, C, E, C, B, A, D, C, B, E, B, C, E, B, E, E, C
92, Ana Oliveira, E, C, D, B, B, E, D, D, D, D, E, A, E, E, D, A, E, A, B, B
93, Marcos Alves, A, A, D, B, C, E, A, E, C, D, C, D, B, C, B, D, C, A, D, D
94, Marcos Alves, D, C, A, B, A, C, B, B, C, E, B, E, B, A, D, B, E, D, D, C
95, João Silva, D, D, A, C, A, C, D, A, E, B, C, A, C, E, C, A, C, B, A, E
96, Maria Souza, E, D, E, E, B, E, D, C, D, C, A, E, C, E, A, A, D, C, D, A
97, Pedro Santos, A, D, A, D, A, B, B, C, C, A, E, B, D, B, A, C, A, C, E, E
98, Pedro Santos, A, E, D, D, D, D, B, E, C, A, E, B, C, C, D, D, D, C, A, C
99, Ana Oliveira, D, D, B, B, A, B, B, E, A, B, D, C, A, C, A, E, A, E, B, B
100, Ana Oliveira, B, D, D, B, D, E, D, B, A, C, C, E, D, E, D, B, B, D, E, C
